imdbId,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes
109340,movie,The Browning Version,The Browning Version,1994,97
112602,movie,Bushwhacked,Bushwhacked,1995,90
111579,movie,Burnt by the Sun,Utomlennye solntsem,1994,135
110882,movie,Before the Rain,Pred dozhdot,1994,113
112471,movie,Before Sunrise,Before Sunrise,1995,101
112508,movie,Billy Madison,Billy Madison,1995,89
112438,movie,The Babysitter,The Babysitter,1995,90
112571,movie,Boys on the Side,Boys on the Side,1995,115
112757,movie,The Cure,The Cure,1995,97
112643,video,Castle Freak,Castle Freak,1995,90
112679,movie,Circle of Friends,Circle of Friends,1995,103
109445,movie,Clerks,Clerks,1994,92
112883,movie,Don Juan DeMarco,Don Juan DeMarco,1994,97
109635,movie,Disclosure,Disclosure,1994,128
109676,movie,Drop Zone,Drop Zone,1994,101
112854,movie,Destiny Turns on the Radio,Destiny Turns on the Radio,1995,102
109579,movie,Death and the Maiden,Death and the Maiden,1994,103
109642,movie,Dolores Claiborne,Dolores Claiborne,1995,132
109686,movie,Dumb and Dumber,Dumb and Dumber,1994,107
111797,movie,Eat Drink Man Woman,Yin shi nan nu,1994,124
109759,movie,Exotica,Exotica,1994,103
109758,movie,Exit to Eden,Exit to Eden,1994,113
109707,movie,Ed Wood,Ed Wood,1994,127
113117,movie,French Kiss,French Kiss,1995,111
113097,movie,Forget Paris,Forget Paris,1995,101
113028,movie,Far from Home: The Adventures of Yellow Dog,Far from Home: The Adventures of Yellow Dog,1995,81
113198,movie,A Goofy Movie,A Goofy Movie,1995,78
113303,movie,Hideaway,Hideaway,1995,106
113089,movie,Fluke,Fluke,1995,96
109771,movie,Farinelli,Farinelli,1994,111
113199,movie,Gordy,Gordy,1994,90
110057,movie,Hoop Dreams,Hoop Dreams,1994,170
110005,movie,Heavenly Creatures,Heavenly Creatures,1994,99
110066,movie,Houseguest,Houseguest,1995,113
110116,movie,Immortal Beloved,Immortal Beloved,1994,121
110006,movie,Heavyweights,Heavyweights,1995,100
113360,movie,The Hunted,The Hunted,1995,111
110099,movie,I.Q.,I.Q.,1994,100
110148,movie,Interview with the Vampire: The Vampire Chronicles,Interview with the Vampire: The Vampire Chronicles,1994,123
113463,movie,Jefferson in Paris,Jefferson in Paris,1995,139
110189,movie,The Jerky Boys,The Jerky Boys,1995,82
110216,movie,Junior,Junior,1994,109
113501,movie,Just Cause,Just Cause,1995,102
113538,movie,A Kid in King Arthur's Court,A Kid in King Arthur's Court,1995,89
113552,movie,Kiss of Death,Kiss of Death,1995,101
76759,movie,Star Wars: Episode IV - A New Hope,Star Wars,1977,121
110367,movie,Little Women,Little Women,1994,115
113670,movie,A Little Princess,A Little Princess,1995,97
110296,movie,Ladybird Ladybird,Ladybird Ladybird,1994,101
103994,movie,Like Water for Chocolate,Como agua para chocolate,1992,105
110322,movie,Legends of the Fall,Legends of the Fall,1994,133
110443,movie,Major Payne,Major Payne,1995,95
107566,movie,Mi vida loca,Mi vida loca,1993,92
110391,movie,Love Affair,Love Affair,1994,108
113691,movie,Losing Isaiah,Losing Isaiah,1993,111
110428,movie,The Madness of King George,The Madness of King George,1994,110
109836,movie,Mary Shelley's Frankenstein,Frankenstein,1994,123
113755,movie,Man of the House,Man of the House,1995,96
110538,movie,Mixed Nuts,Mixed Nuts,1994,97
110516,movie,Milk Money,Milk Money,1994,110
110527,movie,Miracle on 34th Street,Miracle on 34th Street,1994,114
113808,movie,Miami Rhapsody,Miami Rhapsody,1995,95
113896,movie,My Family,My Family,1995,128
113870,movie,Murder in the First,Murder in the First,1995,122
110684,movie,Nobody's Fool,Nobody's Fool,1994,110
110638,movie,Nell,Nell,1994,112
113967,movie,New Jersey Drive,New Jersey Drive,1995,98
117169,movie,New York Cop,New York Undercover Cop,1993,93
106402,movie,Beyond Bedlam,Beyond Bedlam,1994,89
110671,movie,Nina Takes a Lover,Nina Takes a Lover,1994,98
110632,movie,Natural Born Killers,Natural Born Killers,1994,119
110737,movie,Only You,Only You,1994,109
110729,movie,Once Were Warriors,Once Were Warriors,1994,102
114151,movie,Poison Ivy II,Poison Ivy II,1996,106
114069,movie,Outbreak,Outbreak,1995,127
110413,movie,Léon: The Professional,Léon,1994,110
114113,movie,The Perez Family,The Perez Family,1995,113
114210,movie,A Pyromaniac's Love Story,A Pyromaniac's Love Story,1995,94
110912,movie,Pulp Fiction,Pulp Fiction,1994,154
105652,movie,Pushing Hands,Tui shou,1991,105
110889,movie,Priest,Priest,1994,105
110932,movie,Quiz Show,Quiz Show,1994,133
114129,movie,Picture Bride,Picture Bride,1994,94
110963,movie,Queen Margot,La reine Margot,1994,159
114214,movie,The Quick and the Dead,The Quick and the Dead,1995,108
114296,movie,Roommates,Roommates,1995,108
110907,movie,Ready to Wear,Prêt-à-Porter,1994,133
111495,movie,Three Colors: Red,Trois couleurs: Rouge,1994,99
108394,movie,Three Colors: Blue,Trois couleurs: Bleu,1993,94
111507,movie,Three Colors: White,Trois couleurs: Blanc,1994,92
114268,tvMovie,Rent-a-Kid,Rent-a-Kid,1995,85
110965,movie,Relative Fear,Relative Fear,1994,94
114571,movie,Stuart Saves His Family,Stuart Saves His Family,1995,95
111333,movie,The Swan Princess,The Swan Princess,1994,93
111112,movie,The Secret of Roan Inish,The Secret of Roan Inish,1994,103
111255,movie,The Specialist,The Specialist,1994,110
111282,movie,Stargate,Stargate,1994,116
111070,movie,The Santa Clause,The Santa Clause,1994,97
111161,movie,The Shawshank Redemption,The Shawshank Redemption,1994,142
111149,movie,Shallow Grave,Shallow Grave,1994,89
108260,movie,Suture,Suture,1993,96
106966,movie,Strawberry & Chocolate,Fresa y chocolate,1993,108
114594,movie,Swimming with Sharks,Swimming with Sharks,1994,93
111309,movie,The Sum of Us,The Sum of Us,1994,100
113936,movie,National Lampoon's Senior Trip,Senior Trip,1995,91
110081,movie,To Live,Huo zhe,1994,133
114614,movie,Tank Girl,Tank Girl,1995,104
114608,movie,Tales from the Crypt: Demon Knight,Tales from the Crypt: Demon Knight,1995,92
111280,movie,Star Trek: Generations,Star Trek: Generations,1994,118
114609,movie,Tales from the Hood,Tales from the Hood,1995,98
111454,movie,Tom & Viv,Tom & Viv,1994,125
114852,movie,Village of the Damned,Village of the Damned,1995,98
114694,movie,Tommy Boy,Tommy Boy,1995,97
111590,movie,Vanya on 42nd Street,Vanya on 42nd Street,1994,119
114788,movie,The Underneath,Underneath,1995,99
114888,movie,The Walking Dead,The Walking Dead,1995,88
108550,movie,What's Eating Gilbert Grape,What's Eating Gilbert Grape,1993,118
114857,movie,Virtuosity,Virtuosity,1995,106
114924,movie,While You Were Sleeping,While You Were Sleeping,1995,103
111667,movie,The War,The War,1994,126
109655,movie,Double Happiness,Double Happiness,1994,87
110598,movie,Muriel's Wedding,Muriel's Wedding,1994,106
112435,movie,The Baby-Sitters Club,The Baby-Sitters Club,1995,94
109040,movie,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,1994,86
109045,movie,"The Adventures of Priscilla, Queen of the Desert","The Adventures of Priscilla, Queen of the Desert",1994,104
106339,movie,Backbeat,Backbeat,1994,100
104779,movie,Bitter Moon,Bitter Moon,1992,139
109348,movie,Bullets Over Broadway,Bullets Over Broadway,1994,98
109444,movie,Clear and Present Danger,Clear and Present Danger,1994,141
109446,movie,The Client,The Client,1994,119
109484,movie,"Corrina, Corrina","Corrina, Corrina",1994,115
109504,movie,Crooklyn,Crooklyn,1994,115
109506,movie,The Crow,The Crow,1994,102
109450,movie,Cobb,Cobb,1994,128
109813,movie,The Flintstones,The Flintstones,1994,91
109830,movie,Forrest Gump,Forrest Gump,1994,142
109831,movie,Four Weddings and a Funeral,Four Weddings and a Funeral,1994,117
113305,movie,Higher Learning,Higher Learning,1995,128
110091,movie,I Like It Like That,I Like It Like That,1994,104
110093,movie,I Love Trouble,I Love Trouble,1994,123
110167,movie,It Could Happen to You,It Could Happen to You,1994,101
110213,movie,The Jungle Book,The Jungle Book,1994,111
107472,movie,"The Wonderful, Horrible Life of Leni Riefenstahl",Die Macht der Bilder: Leni Riefenstahl,1993,183
110357,movie,The Lion King,The Lion King,1994,88
107426,movie,Little Buddha,Little Buddha,1993,123
111686,movie,New Nightmare,Wes Craven's New Nightmare,1994,112
110475,movie,The Mask,The Mask,1994,101
110478,movie,Maverick,Maverick,1994,127
110588,movie,Mrs. Parker and the Vicious Circle,Mrs. Parker and the Vicious Circle,1994,125
110622,movie,Naked Gun 33 1/3: The Final Insult,Naked Gun 33 1/3: The Final Insult,1994,83
110771,movie,The Paper,The Paper,1994,112
110950,movie,Reality Bites,Reality Bites,1994,99
105226,movie,Red Rock West,Red Rock West,1993,98
110989,movie,Richie Rich,Ri¢hie Ri¢h,1994,95
110997,movie,The River Wild,The River Wild,1994,111
111257,movie,Speed,Speed,1994,116
111256,movie,Speechless,Speechless,1994,99
111438,movie,Timecop,Timecop,1994,99
111503,movie,True Lies,True Lies,1994,141
111693,movie,When a Man Loves a Woman,When a Man Loves a Woman,1994,126
111742,movie,Wolf,Wolf,1994,125
111756,movie,Wyatt Earp,Wyatt Earp,1994,191
112443,movie,Bad Company,Bad Company,1995,108
110455,movie,A Man of No Importance,A Man of No Importance,1994,99
111048,movie,S.F.W.,S.F.W.,1994,96
110399,movie,A Low Down Dirty Shame,A Low Down Dirty Shame,1994,108
112570,movie,"Boys Life: Three Stories of Love, Lust, and Liberation","Boys Life: Three Stories of Love, Lust, and Liberation",1994,91
109454,movie,Colonel Chabert,Le colonel Chabert,1994,110
59170,movie,"Faster, Pussycat! Kill! Kill!","Faster, Pussycat! Kill! Kill!",1965,83
110186,movie,Jason's Lyric,Jason's Lyric,1994,119
111301,movie,Street Fighter,Street Fighter,1994,102
110027,movie,Highlander: The Final Dimension,Highlander III: The Sorcerer,1994,99
109785,movie,Federal Hill,Federal Hill,1994,97
113409,movie,In the Mouth of Madness,In the Mouth of Madness,1994,95
109021,movie,8 Seconds,8 Seconds,1994,105
109035,movie,Above the Rim,Above the Rim,1994,96
106220,movie,Addams Family Values,Addams Family Values,1993,94
106226,movie,The Age of Innocence,The Age of Innocence,1993,139
109068,movie,Airheads,Airheads,1994,92
109067,movie,The Air Up There,The Air Up There,1994,107
106292,movie,Another Stakeout,Another Stakeout,1993,108
109198,movie,Bad Girls,Bad Girls,1994,99
109219,movie,Barcelona,Barcelona,1994,101
106379,movie,Being Human,Being Human,1994,122
106400,movie,The Beverly Hillbillies,The Beverly Hillbillies,1993,92
109254,movie,Beverly Hills Cop III,Beverly Hills Cop III,1994,104
109279,movie,Black Beauty,Black Beauty,1994,88
109297,movie,Blink,Blink,1993,106
109303,movie,Blown Away,Blown Away,1994,121
109305,movie,Blue Chips,Blue Chips,1994,108
109306,movie,Blue Sky,Blue Sky,1994,101
106452,movie,Body Snatchers,Body Snatchers,1993,87
106471,movie,Boxing Helena,Boxing Helena,1993,107
106489,movie,A Bronx Tale,A Bronx Tale,1993,121
109361,movie,Cabin Boy,Cabin Boy,1994,80
106505,movie,Calendar Girl,Calendar Girl,1993,90
106519,movie,Carlito's Way,Carlito's Way,1993,144
109439,movie,City Slickers II: The Legend of Curly's Gold,City Slickers II: The Legend of Curly's Gold,1994,116
109443,movie,Clean Slate,Clean Slate,1994,107
106582,movie,Cliffhanger,Cliffhanger,1993,113
106598,movie,Coneheads,Coneheads,1993,88
109456,movie,Color of Night,Color of Night,1994,121
109480,movie,Cops and Robbersons,Cops and Robbersons,1994,93
109493,movie,The Cowboy Way,The Cowboy Way,1994,102
106673,movie,Dave,Dave,1993,110
106677,movie,Dazed and Confused,Dazed and Confused,1993,103
106697,movie,Demolition Man,Demolition Man,1993,115
106834,movie,Even Cowgirls Get the Blues,Even Cowgirls Get the Blues,1993,106
106873,movie,Fatal Instinct,Fatal Instinct,1993,91
106332,movie,Farewell My Concubine,Ba wang bie ji,1993,171
106881,movie,Fearless,Fearless,1993,122
106880,movie,Fear of a Black Hat,Fear of a Black Hat,1993,88
111732,movie,With Honors,With Honors,1994,101
106926,movie,Flesh and Bone,Flesh and Bone,1993,126
111712,movie,Widows' Peak,Widows' Peak,1994,101
106941,movie,For Love or Money,For Love or Money,1993,96
106918,movie,The Firm,The Firm,1993,154
106965,movie,Free Willy,Free Willy,1993,112
109842,movie,Fresh,Fresh,1994,114
106977,movie,The Fugitive,The Fugitive,1993,130
107004,movie,Geronimo: An American Legend,Geronimo: An American Legend,1993,115
109890,movie,The Getaway,The Getaway,1994,115
109891,movie,Getting Even with Dad,Getting Even with Dad,1994,109
109913,movie,Go Fish,Go Fish,1994,83
107076,movie,Hard Target,Hard Target,1993,97
107144,movie,Hot Shots! Part Deux,Hot Shots! Part Deux,1993,86
113674,movie,Live Nude Girls,Live Nude Girls,1995,95
112966,movie,The Englishman Who Went Up a Hill But Came Down a Mountain,The Englishman Who Went Up a Hill But Came Down a Mountain,1995,99
107151,movie,The House of the Spirits,The House of the Spirits,1993,145
110064,movie,House Party 3,House Party 3,1994,100
110074,movie,The Hudsucker Proxy,The Hudsucker Proxy,1994,111
110097,movie,I'll Do Anything,I'll Do Anything,1994,115
110123,movie,In the Army Now,In the Army Now,1994,91
107206,movie,In the Line of Fire,In the Line of Fire,1993,128
107207,movie,In the Name of the Father,In the Name of the Father,1993,133
110137,movie,The Inkwell,The Inkwell,1994,110
108551,movie,What's Love Got to Do with It,What's Love Got to Do with It,1993,118
110197,movie,Jimmy Hollywood,Jimmy Hollywood,1994,112
107286,movie,Judgment Night,Judgment Night,1993,110
107290,movie,Jurassic Park,Jurassic Park,1993,127
107302,movie,Kalifornia,Kalifornia,1993,117
110265,movie,Killing Zoe,Killing Zoe,1993,96
110305,movie,Lassie,Lassie,1994,94
107362,movie,Last Action Hero,Last Action Hero,1993,130
107413,movie,Life with Mikey,Life with Mikey,1993,91
110353,movie,Lightning Jack,Lightning Jack,1994,98
107468,movie,M. Butterfly,M. Butterfly,1993,101
107478,movie,Made in America,Made in America,1993,111
107497,movie,Malice,Malice,1993,107
107501,movie,The Man Without a Face,The Man Without a Face,1993,115
107507,movie,Manhattan Murder Mystery,Manhattan Murder Mystery,1993,104
107554,movie,Menace II Society,Menace II Society,1993,97
116253,movie,Executive Decision,Executive Decision,1996,133
74102,movie,In the Realm of the Senses,Ai no korîda,1976,109
111689,movie,What Happened Was...,What Happened Was...,1994,91
107616,movie,Much Ado About Nothing,Much Ado About Nothing,1993,111
107613,movie,Mr. Wonderful,Mr. Wonderful,1993,98
107614,movie,Mrs. Doubtfire,Mrs. Doubtfire,1993,125
107653,movie,Naked,Naked,1993,131
110657,movie,The Next Karate Kid,The Next Karate Kid,1994,107
110678,movie,No Escape,No Escape,1994,118
110687,movie,North,North,1994,87
107756,movie,Orlando,Orlando,1992,94
107808,movie,A Perfect World,A Perfect World,1993,138
107818,movie,Philadelphia,Philadelphia,1993,125
107822,movie,The Piano,The Piano,1993,121
107840,movie,Poetic Justice,Poetic Justice,1993,109
107889,movie,The Program,The Program,1993,112
111003,movie,The Puppet Masters,The Puppet Masters,1994,109
110939,movie,Radioland Murders,Radioland Murders,1994,108
110955,movie,The Ref,The Ref,1994,97
107943,movie,The Remains of the Day,The Remains of the Day,1993,134
110971,movie,Renaissance Man,Renaissance Man,1994,128
107969,movie,Rising Sun,Rising Sun,1993,125
111001,movie,The Road to Wellville,The Road to Wellville,1994,118
107978,movie,RoboCop 3,RoboCop 3,1993,104
107977,movie,Robin Hood: Men in Tights,Robin Hood: Men in Tights,1993,104
107983,movie,Romeo Is Bleeding,Romeo Is Bleeding,1993,110
105275,movie,Romper Stomper,Romper Stomper,1992,94
108000,movie,Ruby in Paradise,Ruby in Paradise,1993,114
108002,movie,Rudy,Rudy,1993,114
105032,movie,Savage Nights,Les nuits fauves,1992,126
108052,movie,Schindler's List,Schindler's List,1993,195
111094,movie,The Scout,The Scout,1994,101
108065,movie,Searching for Bobby Fischer,Searching for Bobby Fischer,1993,109
108071,movie,The Secret Garden,The Secret Garden,1993,101
111127,movie,Serial Mom,Serial Mom,1994,95
111143,movie,The Shadow,The Shadow,1994,108
108101,movie,Shadowlands,Shadowlands,1993,131
108122,movie,Short Cuts,Short Cuts,1993,188
111194,movie,A Simple Twist of Fate,A Simple Twist of Fate,1994,106
111201,movie,Sirens,Sirens,1994,98
108149,movie,Six Degrees of Separation,Six Degrees of Separation,1993,112
108160,movie,Sleepless in Seattle,Sleepless in Seattle,1993,105
108162,movie,Sliver,Sliver,1993,107
83658,movie,Blade Runner,Blade Runner,1982,117
108186,movie,Son in Law,Son in Law,1993,95
108174,movie,So I Married an Axe Murderer,So I Married an Axe Murderer,1993,93
108238,movie,Striking Distance,Striking Distance,1993,102
108255,movie,Super Mario Bros.,Super Mario Bros.,1993,104
111323,movie,Surviving the Game,Surviving the Game,1994,96
111400,movie,Terminal Velocity,Terminal Velocity,1994,102
108328,movie,Thirty Two Short Films About Glenn Gould,Thirty Two Short Films About Glenn Gould,1993,98
111418,movie,Threesome,Threesome,1994,93
107688,movie,The Nightmare Before Christmas,The Nightmare Before Christmas,1993,76
108333,movie,The Three Musketeers,The Three Musketeers,1993,105
108358,movie,Tombstone,Tombstone,1993,130
108399,movie,True Romance,True Romance,1993,119
108515,movie,The War Room,The War Room,1993,96
110763,movie,The Pagemaster,The Pagemaster,1994,80
114906,movie,Welcome to the Dollhouse,Welcome to the Dollhouse,1995,88
107002,movie,Germinal,Germinal,1993,160
109403,movie,Chasers,Chasers,1994,102
107315,movie,Kika,Kika,1993,114
106408,movie,Bhaji on the Beach,Bhaji on the Beach,1993,101
110363,movie,Little Big League,Little Big League,1994,119
107225,movie,"Ciao, Professore!",Io speriamo che me la cavo,1992,100
111252,movie,Spanking the Monkey,Spanking the Monkey,1994,100
110366,movie,The Little Rascals,The Little Rascals,1994,82
109120,movie,Andre,Andre,1994,95
